epoch,step,val_loss,val_voxel_count
0,5,0.0,5457725952.0
1,11,0.0,5457725952.0
2,17,0.0,5457725952.0
3,23,0.0,5457725952.0
4,29,0.0,5457725952.0
5,35,0.0,5457725952.0
6,41,0.0,5457725952.0
7,47,0.0,5457725952.0
8,53,0.0,5457725952.0
9,59,0.0,5457725952.0
10,65,0.0,5457725952.0
11,71,0.0,5457725952.0
12,77,0.0,5457725952.0
13,83,0.0,5457725952.0
14,89,0.0,5457725952.0
15,95,0.0,5457725952.0
16,101,0.0,5457725952.0
17,107,0.0,5457725952.0
18,113,0.0,5457725952.0
19,119,0.0,5457725952.0
20,125,0.0,5457725952.0
